subject_entity_id,predicate,object_entity_id,certainty,reason_el,reason_en
sanctuary-aegina-aphaia-sanctuary,associated_with_settlement,city-aegina-city,high,Ρητή επιμελητική σύνδεση του ιερού με την Αίγινα.,Explicit editorial link between the sanctuary and Aegina.
sanctuary-akragas-concordia-temple-sanctuary,associated_with_settlement,colony-akragas,high,Ρητή επιμελητική σύνδεση του ναού με τον Ακράγαντα.,Explicit editorial link between the temple and Akragas.
sanctuary-alexandria-serapeum,associated_with_settlement,city-alexandria-egypt,high,Ρητή επιμελητική σύνδεση του Σεραπείου με την Αλεξάνδρεια.,Explicit editorial link between the Serapeum and Alexandria.
sanctuary-apollonia-pontica-apollo-ietros-sanctuary,associated_with_settlement,colony-apollonia-pontica,high,Ρητή επιμελητική σύνδεση του ιερού με την Απολλωνία Ποντική.,Explicit editorial link between the sanctuary and Apollonia Pontica.
sanctuary-argive-heraion,associated_with_settlement,city-argos,medium,Το Αργείο Ηραίο συνδέεται επιμελητικά με το Άργος χωρίς να θεωρείται αστικό μνημείο.,The Argive Heraion is editorially associated with Argos without treating it as an urban monument.
sanctuary-athens-acropolis-sacred-center,associated_with_settlement,city-athens-attica,high,Ρητή επιμελητική σύνδεση της Ακρόπολης με την Αθήνα.,Explicit editorial link between the Acropolis and Athens.
sanctuary-chersonesos-parthenos-sanctuary,associated_with_settlement,colony-chersonesus-taurica,high,Ρητή επιμελητική σύνδεση του ιερού με την Ταυρική Χερσόνησο.,Explicit editorial link between the sanctuary and Tauric Chersonesos.
sanctuary-croton-hera-lacinia-sanctuary,associated_with_settlement,colony-croton,high,Ρητή επιμελητική σύνδεση του ιερού της Ήρας Λακινίας με τον Κρότωνα.,Explicit editorial link between the sanctuary of Hera Lacinia and Croton.
sanctuary-cyrene-apollo-sanctuary,associated_with_settlement,colony-cyrene,high,Ρητή επιμελητική σύνδεση του ιερού του Απόλλωνα με την Κυρήνη.,Explicit editorial link between the sanctuary of Apollo and Cyrene.
sanctuary-cyrene-zeus-sanctuary,associated_with_settlement,colony-cyrene,high,Ρητή επιμελητική σύνδεση του ναού του Δία με την Κυρήνη.,Explicit editorial link between the temple of Zeus and Cyrene.
sanctuary-ephesus-artemis-sanctuary,associated_with_settlement,colony-ephesus,high,Ρητή επιμελητική σύνδεση του Αρτεμισίου με την Έφεσο.,Explicit editorial link between the Artemision and Ephesus.
sanctuary-epidauros-asklepios-sanctuary,associated_with_settlement,city-epidaurus-city,high,Ρητή επιμελητική σύνδεση του Ασκληπιείου με την Επίδαυρο.,Explicit editorial link between the Asklepieion and Epidauros.
sanctuary-gyroulas-demeter-sanctuary,associated_with_settlement,city-naxos-cyclades,medium,Το ιερό στον Γύρουλα συνδέεται με την πόλη και χώρα της Νάξου.,The sanctuary at Gyroulas is associated with the city and territory of Naxos.
sanctuary-histria-sacred-zone,associated_with_settlement,colony-histria-pontica,high,Ρητή επιμελητική σύνδεση της ιερής ζώνης με την Ιστρία.,Explicit editorial link between the sacred zone and Histria.
sanctuary-hyria-dionysos-sanctuary,associated_with_settlement,city-naxos-cyclades,medium,Το ιερό στα Ύρια συνδέεται με την πόλη και χώρα της Νάξου.,The sanctuary at Hyria is associated with the city and territory of Naxos.
sanctuary-kos-asklepieion,associated_with_settlement,city-kos-city,high,Ρητή επιμελητική σύνδεση του Ασκληπιείου με την Κω.,Explicit editorial link between the Asklepieion and Kos.
sanctuary-lindos-athena-sanctuary,associated_with_settlement,city-lindos,high,Ρητή επιμελητική σύνδεση του ιερού της Αθηνάς Λινδίας με τη Λίνδο.,Explicit editorial link between the sanctuary of Athena Lindia and Lindos.
sanctuary-locri-mannella-persephone-sanctuary,associated_with_settlement,colony-locri-epizephyrii,high,Ρητή επιμελητική σύνδεση του ιερού της Mannella με τους Επιζεφύριους Λοκρούς.,Explicit editorial link between the Mannella sanctuary and Locri Epizephyrii.
sanctuary-magnesia-artemis-leukophryene,associated_with_settlement,colony-magnesia-maeander,high,Ρητή επιμελητική σύνδεση του ιερού με τη Μαγνησία στον Μαίανδρο.,Explicit editorial link between the sanctuary and Magnesia on the Maeander.
sanctuary-menelaion-sparta,associated_with_settlement,city-sparta,high,Ρητή επιμελητική σύνδεση του Μενελαείου με τη Σπάρτη.,Explicit editorial link between the Menelaion and Sparta.
sanctuary-metapontum-tavole-palatine-heraion,associated_with_settlement,colony-metapontum,high,Ρητή επιμελητική σύνδεση του Ηραίου με το Μεταπόντιο.,Explicit editorial link between the Heraion and Metapontum.
sanctuary-naukratis-hellenion,associated_with_settlement,colony-naucratis,high,Ρητή επιμελητική σύνδεση του Ελληνίου με τη Ναύκρατι.,Explicit editorial link between the Hellenion and Naukratis.
sanctuary-olbia-apollo-delphinios-sanctuary,associated_with_settlement,colony-olbia-pontica,high,Ρητή επιμελητική σύνδεση του ιερού με την Ολβία Ποντική.,Explicit editorial link between the sanctuary and Olbia Pontica.
sanctuary-pantikapaion-apollo-ietros-sanctuary,associated_with_settlement,colony-panticapaeum,high,Ρητή επιμελητική σύνδεση του ιερού με το Παντικάπαιο.,Explicit editorial link between the sanctuary and Pantikapaion.
sanctuary-pergamon-asklepieion,associated_with_settlement,city-pergamum,high,Ρητή επιμελητική σύνδεση του Ασκληπιείου με την Πέργαμο.,Explicit editorial link between the Asklepieion and Pergamon.
sanctuary-priene-athena-polias-sanctuary,associated_with_settlement,colony-priene,high,Ρητή επιμελητική σύνδεση του ιερού με την Πριήνη.,Explicit editorial link between the sanctuary and Priene.
sanctuary-samos-heraion,associated_with_settlement,city-samos-city,high,Ρητή επιμελητική σύνδεση του Ηραίου με τη Σάμο.,Explicit editorial link between the Heraion and Samos.
sanctuary-selinous-demeter-malophoros-sanctuary,associated_with_settlement,colony-selinus,high,Ρητή επιμελητική σύνδεση του ιερού της Μαλοφόρου με τον Σελινούντα.,Explicit editorial link between the Malophoros sanctuary and Selinus.
sanctuary-syracuse-apollo-sanctuary,associated_with_settlement,colony-syracuse,high,Ρητή επιμελητική σύνδεση του ναού του Απόλλωνα με τις Συρακούσες.,Explicit editorial link between the temple of Apollo and Syracuse.
sanctuary-tegea-athena-alea-sanctuary,associated_with_settlement,city-tegea,high,Ρητή επιμελητική σύνδεση του ιερού της Αθηνάς Αλέας με την Τεγέα.,Explicit editorial link between the sanctuary of Athena Alea and Tegea.
