severity,code,table,record_id,message,recommendation
warning,PLEIADES_COORDINATE_OFFSET,places,sanctuary-apollonia-pontica-apollo-ietros-sanctuary,Local and Pleiades representative points differ by 639.99 metres.,Keep the measured difference visible and review only with monument-specific evidence.
warning,PROXY_GEOMETRY,places,place-sanctuary-apollonia-pontica-apollo-ietros-sanctuary,"The point is intentionally an approximate proxy, not a surveyed footprint.",Replace only with a monument-specific coordinate supported by an authoritative source.
warning,PROXY_GEOMETRY,places,place-sanctuary-chersonesos-parthenos-sanctuary,"The point is intentionally an approximate proxy, not a surveyed footprint.",Replace only with a monument-specific coordinate supported by an authoritative source.
warning,PROXY_GEOMETRY,places,place-sanctuary-golgoi-aphrodite-sanctuary,"The point is intentionally an approximate proxy, not a surveyed footprint.",Replace only with a monument-specific coordinate supported by an authoritative source.
warning,PROXY_GEOMETRY,places,place-sanctuary-histria-sacred-zone,"The point is intentionally an approximate proxy, not a surveyed footprint.",Replace only with a monument-specific coordinate supported by an authoritative source.
warning,PROXY_GEOMETRY,places,place-sanctuary-magnesia-artemis-leukophryene,"The point is intentionally an approximate proxy, not a surveyed footprint.",Replace only with a monument-specific coordinate supported by an authoritative source.
warning,PROXY_GEOMETRY,places,place-sanctuary-naukratis-hellenion,"The point is intentionally an approximate proxy, not a surveyed footprint.",Replace only with a monument-specific coordinate supported by an authoritative source.
warning,PROXY_GEOMETRY,places,place-sanctuary-olbia-apollo-delphinios-sanctuary,"The point is intentionally an approximate proxy, not a surveyed footprint.",Replace only with a monument-specific coordinate supported by an authoritative source.
warning,PROXY_GEOMETRY,places,place-sanctuary-pantikapaion-apollo-ietros-sanctuary,"The point is intentionally an approximate proxy, not a surveyed footprint.",Replace only with a monument-specific coordinate supported by an authoritative source.
warning,RETAINED_UNCERTAINTY,entities,city-ptolemais-cyrenaica,The record is reviewed but intentionally retains medium confidence.,Revisit only when stronger entity-specific evidence becomes available.
warning,RETAINED_UNCERTAINTY,entities,colony-issa-vis,The record is reviewed but intentionally retains medium confidence.,Revisit only when stronger entity-specific evidence becomes available.
warning,RETAINED_UNCERTAINTY,entities,colony-myrina-aeolis,The record is reviewed but intentionally retains medium confidence.,Revisit only when stronger entity-specific evidence becomes available.
warning,RETAINED_UNCERTAINTY,entities,colony-phasis-city,The record is reviewed but intentionally retains medium confidence.,Revisit only when stronger entity-specific evidence becomes available.
warning,RETAINED_UNCERTAINTY,entities,kingdom-attalid-pergamon,The record is reviewed but intentionally retains medium confidence.,Revisit only when stronger entity-specific evidence becomes available.
warning,RETAINED_UNCERTAINTY,entities,kingdom-cappadocia-late-client,The record is reviewed but intentionally retains medium confidence.,Revisit only when stronger entity-specific evidence becomes available.
warning,RETAINED_UNCERTAINTY,entities,kingdom-commagene,The record is reviewed but intentionally retains medium confidence.,Revisit only when stronger entity-specific evidence becomes available.
warning,RETAINED_UNCERTAINTY,entities,kingdom-indo-greek-early,The record is reviewed but intentionally retains medium confidence.,Revisit only when stronger entity-specific evidence becomes available.
warning,RETAINED_UNCERTAINTY,entities,kingdom-indo-greek-late,The record is reviewed but intentionally retains medium confidence.,Revisit only when stronger entity-specific evidence becomes available.
warning,RETAINED_UNCERTAINTY,entities,sanctuary-akragas-concordia-temple-sanctuary,The record is reviewed but intentionally retains medium confidence.,Revisit only when stronger entity-specific evidence becomes available.
warning,RETAINED_UNCERTAINTY,entities,sanctuary-apollonia-pontica-apollo-ietros-sanctuary,The record is reviewed but intentionally retains medium confidence.,Revisit only when stronger entity-specific evidence becomes available.
warning,RETAINED_UNCERTAINTY,entities,sanctuary-chersonesos-parthenos-sanctuary,The record is reviewed but intentionally retains medium confidence.,Revisit only when stronger entity-specific evidence becomes available.
warning,RETAINED_UNCERTAINTY,entities,sanctuary-golgoi-aphrodite-sanctuary,The record is reviewed but intentionally retains medium confidence.,Revisit only when stronger entity-specific evidence becomes available.
warning,RETAINED_UNCERTAINTY,entities,sanctuary-histria-sacred-zone,The record is reviewed but intentionally retains medium confidence.,Revisit only when stronger entity-specific evidence becomes available.
warning,RETAINED_UNCERTAINTY,entities,sanctuary-magnesia-artemis-leukophryene,The record is reviewed but intentionally retains medium confidence.,Revisit only when stronger entity-specific evidence becomes available.
warning,RETAINED_UNCERTAINTY,entities,sanctuary-naukratis-hellenion,The record is reviewed but intentionally retains medium confidence.,Revisit only when stronger entity-specific evidence becomes available.
warning,RETAINED_UNCERTAINTY,entities,sanctuary-olbia-apollo-delphinios-sanctuary,The record is reviewed but intentionally retains medium confidence.,Revisit only when stronger entity-specific evidence becomes available.
warning,RETAINED_UNCERTAINTY,entities,sanctuary-pantikapaion-apollo-ietros-sanctuary,The record is reviewed but intentionally retains medium confidence.,Revisit only when stronger entity-specific evidence becomes available.
warning,RETAINED_UNCERTAINTY,entities,sanctuary-segesta-doric-temple-sanctuary,The record is reviewed but intentionally retains medium confidence.,Revisit only when stronger entity-specific evidence becomes available.
warning,SOURCE_URL_ACCESS,sources,src-assets-5a2ee3f98c16,"Source URL is unchecked; this is an accessibility warning, not a scholarly verdict.",Recheck periodically without discarding relevant institutional evidence.
warning,SOURCE_URL_ACCESS,sources,src-britishmuseum-4626abd5cbdd,"Source URL is unavailable; this is an accessibility warning, not a scholarly verdict.",Recheck periodically without discarding relevant institutional evidence.
warning,SOURCE_URL_ACCESS,sources,src-britishmuseum-d101eb623c92,"Source URL is unavailable; this is an accessibility warning, not a scholarly verdict.",Recheck periodically without discarding relevant institutional evidence.
warning,SOURCE_URL_ACCESS,sources,src-metmuseum-31540f5687cf,"Source URL is unavailable; this is an accessibility warning, not a scholarly verdict.",Recheck periodically without discarding relevant institutional evidence.
warning,SOURCE_URL_ACCESS,sources,src-metmuseum-50fe20dc493f,"Source URL is unavailable; this is an accessibility warning, not a scholarly verdict.",Recheck periodically without discarding relevant institutional evidence.
warning,SOURCE_URL_ACCESS,sources,src-metmuseum-89019924e8c3,"Source URL is unavailable; this is an accessibility warning, not a scholarly verdict.",Recheck periodically without discarding relevant institutional evidence.
warning,SOURCE_URL_ACCESS,sources,src-metmuseum-9200258a95cb,"Source URL is unavailable; this is an accessibility warning, not a scholarly verdict.",Recheck periodically without discarding relevant institutional evidence.
warning,SOURCE_URL_ACCESS,sources,src-museoarcheologicoreggiocalabria-a34e7a2bfa16,"Source URL is unavailable; this is an accessibility warning, not a scholarly verdict.",Recheck periodically without discarding relevant institutional evidence.
warning,SOURCE_URL_ACCESS,sources,src-odysseus-00e2d87ae4a8,"Source URL is unavailable; this is an accessibility warning, not a scholarly verdict.",Recheck periodically without discarding relevant institutional evidence.
warning,SOURCE_URL_ACCESS,sources,src-odysseus-589898851f92,"Source URL is unavailable; this is an accessibility warning, not a scholarly verdict.",Recheck periodically without discarding relevant institutional evidence.
warning,SOURCE_URL_ACCESS,sources,src-odysseus-9e3ae0cba911,"Source URL is unavailable; this is an accessibility warning, not a scholarly verdict.",Recheck periodically without discarding relevant institutional evidence.
warning,SOURCE_URL_ACCESS,sources,src-persee-a9866e5e43d7,"Source URL is unchecked; this is an accessibility warning, not a scholarly verdict.",Recheck periodically without discarding relevant institutional evidence.
warning,SOURCE_URL_ACCESS,sources,src-pleiades-491572,"Source URL is unavailable; this is an accessibility warning, not a scholarly verdict.",Recheck periodically without discarding relevant institutional evidence.
warning,SOURCE_URL_ACCESS,sources,src-pleiades-727070,"Source URL is unavailable; this is an accessibility warning, not a scholarly verdict.",Recheck periodically without discarding relevant institutional evidence.
warning,SOURCE_URL_ACCESS,sources,src-websites-d5246844b076,"Source URL is unavailable; this is an accessibility warning, not a scholarly verdict.",Recheck periodically without discarding relevant institutional evidence.
