url,title,publisher,source_class,language,license,notes
https://www.persee.fr/doc/bch_0007-4217_1958_num_82_1_2355,Épigramme de Cyrène en l'honneur du roi Magas,Persée / Bulletin de Correspondance Hellénique,peer_reviewed_publication,fr,,Peer-reviewed epigraphic study directly concerning King Magas of Cyrene.
https://assets.cambridge.org/97811070/08571/excerpt/9781107008571_excerpt.pdf,Callimachus in Context: From Plato to the Augustan Poets — excerpt,Cambridge University Press,peer_reviewed_publication,en,,Book excerpt by Benjamin Acosta-Hughes and Susan A. Stephens; its historical introduction discusses Magas and Cyrene.
https://museoarcheologicoreggiocalabria.cultura.gov.it/collezioni/livello-b,Cities and Sanctuaries of Magna Graecia — Level B,Museo Archeologico Nazionale di Reggio Calabria,museum,en,,Official museum collection page; the current English page documents the Mannella sanctuary at Locri.
https://odysseus.culture.gr/h/2/eh2530.jsp?obj_id=716,The Palace of Knossos,Hellenic Ministry of Culture,national_archaeological_service,en,,Official archaeological-site record; direct automated access was unavailable during the release check.
https://odysseus.culture.gr/h/3/eh351.jsp?obj_id=2501,Archaeological Site of Dimini,Hellenic Ministry of Culture,national_archaeological_service,en,,Official archaeological-site record; direct automated access was unavailable during the release check.
https://odysseus.culture.gr/h/3/eh355.jsp?obj_id=2562,The Palace of Nestor at Pylos,Hellenic Ministry of Culture,national_archaeological_service,en,,Official archaeological-site record; direct automated access was unavailable during the release check.
https://websites.ucy.ac.cy/pulp/documents/Publications/Iacovou_2014-POLITICAL_ECONOMIES.pdf,Political economies and landscape transformations: The case of ancient Paphos,University of Cyprus,peer_reviewed_publication,en,,Publication by Maria Iacovou (2014); the hosting server denied automated access during the release check.
https://www.britishmuseum.org/collection/object/C_TC-p80-56-Syr,Coin of Hieron II of Syracuse,The British Museum,museum,en,,British Museum collection record used as material evidence for Hieron II; the server denied automated access during the release check.
https://www.britishmuseum.org/collection/term/x113864,Naukratis — collection place record,The British Museum,museum,en,,British Museum collection authority record for Naukratis; the server denied automated access during the release check.
https://www.metmuseum.org/essays/egypt-in-the-ptolemaic-period,Egypt in the Ptolemaic Period,The Metropolitan Museum of Art,museum,en,,Heilbrunn Timeline of Art History essay; rate-limited during the automated release check.
https://www.metmuseum.org/essays/the-rise-of-macedonia-and-the-conquests-of-alexander-the-great,The Rise of Macedonia and the Conquests of Alexander the Great,The Metropolitan Museum of Art,museum,en,,Heilbrunn Timeline of Art History essay; rate-limited during the automated release check.
https://www.metmuseum.org/essays/the-seleucid-empire-323-64-b-c,The Seleucid Empire (323–64 BCE),The Metropolitan Museum of Art,museum,en,,Heilbrunn Timeline of Art History essay; rate-limited during the automated release check.
https://www.metmuseum.org/toah/hd/gkru/hd_gkru.htm,Greek Art in the Hellenistic World,The Metropolitan Museum of Art,museum,en,,Heilbrunn Timeline of Art History essay; rate-limited during the automated release check.
