entity_id,issue_category,evidence_url,decision_el,decision_en,resulting_review_state,record_confidence,location_certainty,geometry_role,reviewed_on,reviewer
city-ptolemais-cyrenaica,chronology_and_location,https://pleiades.stoa.org/places/373879,"Διατηρείται η εγγραφή με μέση βεβαιότητα· η ταύτιση Pleiades συμφωνεί χωρικά, ενώ η πρώιμη χρονολόγηση παραμένει προσεγγιστική.",Retain with medium confidence; the Pleiades match is spatially consistent while the early chronology remains approximate.,reviewed,medium,medium,site,2026-08-15,Codex-assisted scholarly review
colony-myrina-aeolis,long_occupation_window,https://pleiades.stoa.org/places/550756,"Διατηρείται το ευρύ παράθυρο κατοίκησης ως συνοπτική περίοδος και όχι ως ισχυρισμός αδιάλειπτης αποικιακής φάσης.",Retain the broad occupation window as a summary period rather than a claim of an uninterrupted colonial phase.,reviewed,medium,medium,site,2026-08-15,Codex-assisted scholarly review
colony-issa-vis,foundation_and_identifier,https://www.armus.hr/en/museum/museum-history/collection-and-site-issa,"Διατηρείται η συρακούσια αποικιακή ταυτότητα με μέση βεβαιότητα και χωρίς μη τεκμηριωμένο αναγνωριστικό Pleiades.",Retain the Syracusan colonial identity at medium confidence without inventing a Pleiades identifier.,reviewed,medium,medium,site,2026-08-15,Codex-assisted scholarly review
colony-phasis-city,disputed_location,https://pleiades.stoa.org/places/857275,"Διατηρείται η θέση του Pleiades ως συμβατικός δείκτης με μέση βεβαιότητα· η ακριβής αρχαιολογική ταύτιση παραμένει ανοικτή.",Retain the Pleiades point as a conventional marker at medium certainty; the exact archaeological identification remains open.,reviewed,medium,medium,site,2026-08-15,Codex-assisted scholarly review
kingdom-indo-greek-early,dynastic_sequence,https://www.iranicaonline.org/articles/indo-greek-dynasty/,"Διατηρείται ως αναλυτική δυναστική φάση με ρητά προσεγγιστική χρονολόγηση και αντιπροσωπευτικό κέντρο.",Retain as an analytical dynastic phase with explicitly approximate chronology and a representative centre.,reviewed,medium,high,representative_center,2026-08-15,Codex-assisted scholarly review
kingdom-indo-greek-late,aggregate_polities,https://www.iranicaonline.org/articles/indo-greek-dynasty/,"Διατηρείται μόνο ως συγκεντρωτική εγγραφή πολλών παράλληλων βασιλείων· δεν αποδίδεται ως ενιαίο κράτος.",Retain only as an aggregate record for multiple parallel kingdoms; do not represent it as a unitary state.,reviewed,medium,high,representative_center,2026-08-15,Codex-assisted scholarly review
kingdom-cappadocia-late-client,interrupted_phase,https://www.iranicaonline.org/articles/cappadocia/,"Διατηρείται η συνοπτική ύστερη φάση, με σαφή προειδοποίηση ότι περιλαμβάνει εκθρονίσεις, αποκαταστάσεις και μεταβαλλόμενη εξάρτηση.",Retain the summarized late phase with an explicit warning that it includes depositions, restorations and changing dependency.,reviewed,medium,high,representative_center,2026-08-15,Codex-assisted scholarly review
kingdom-commagene,interrupted_independence,https://whc.unesco.org/en/list/448/,"Διατηρείται η εγγραφή με καταγεγραμμένη τη διακοπή 17–38 μ.Χ. και τη Σαμόσατα μόνο ως αντιπροσωπευτικό κέντρο.",Retain with the 17–38 CE interruption documented and Samosata used only as a representative centre.,reviewed,medium,high,representative_center,2026-08-15,Codex-assisted scholarly review
kingdom-attalid-pergamon,state_to_kingdom_transition,https://www.metmuseum.org/toah/hd/gkru/hd_gkru.htm,"Διατηρείται το διάστημα από τη δυναστική ηγεμονία έως το βασίλειο· η περιγραφή ξεχωρίζει την ανάληψη του βασιλικού τίτλου το 241 π.Χ.",Retain the interval from dynastic principality to kingdom; the description distinguishes the royal title adopted in 241 BCE.,reviewed,medium,high,representative_center,2026-08-15,Codex-assisted scholarly review
sanctuary-naukratis-hellenion,proxy_geometry,https://www.britishmuseum.org/collection/term/x113864,"Διατηρείται προσεγγιστικό σημείο μέσα στη Ναύκρατι και όχι ακριβές περίγραμμα του Ελληνίου.",Retain an approximate point within Naukratis rather than an exact footprint of the Hellenion.,reviewed,medium,medium,proxy,2026-08-15,Codex-assisted scholarly review
