entity_id,legacy_id,entity_class,entity_subtype,legacy_subtype,collections,preferred_name_el,preferred_name_en,ancient_name_grc,description_el,description_en,sanctuary_scope,sanctuary_setting,sanctuary_function_tags,ancient_region_authority_id,temporal_precision,location_certainty,record_confidence,review_state,translation_status,data_version,source_origin,last_reviewed,reviewer
city-aegina-city,city-aegina-city,settlement,polis,polis,city,Αίγινα,Aegina,Αἴγινα,Νησιωτική εμπορική και ναυτική δύναμη του Σαρωνικού με πρώιμη νομισματοκοπία.,Saronic island trading and naval power with early coinage.,,,,region-saronikos,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-aigai-macedonia,city-aigai-macedonia,settlement,polis,polis,city,Αιγές,Aigai,Αἰγαί,Πρώτη πρωτεύουσα και βασιλική νεκρόπολη των αρχαίων Μακεδόνων.,First capital and royal necropolis of the ancient Macedonians.,,,,region-makedonia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-alexandria-egypt,city-alexandria-egypt,settlement,polis,polis,city,Αλεξάνδρεια,Alexandria,Ἀλεξάνδρεια,"Πόλη που ίδρυσε ο Αλέξανδρος και πρωτεύουσα των Πτολεμαίων, με κορυφαίο λιμάνι και πνευματικά ιδρύματα.","City founded by Alexander and capital of the Ptolemies, with a leading port and intellectual institutions.",,,,region-aigyptos,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-antioch-orontes,city-antioch-orontes,settlement,polis,polis,city,Αντιόχεια επί Ορόντου,Antioch on the Orontes,Ἀντιόχεια ἡ ἐπὶ Ὀρόντου,Σελευκιδική πρωτεύουσα και μία από τις μεγαλύτερες ελληνιστικές και ρωμαϊκές πόλεις της ανατολικής Μεσογείου.,Seleucid capital and one of the largest Hellenistic and Roman cities in the eastern Mediterranean.,,,,region-syria-seleykida,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-argos,city-argos,settlement,polis,polis,city,Άργος,Argos,Ἄργος,Μία από τις μακροβιότερες πόλεις της Πελοποννήσου και σημαντικό κέντρο της Αργολίδας.,One of the oldest cities in the Peloponnese and an important center of Argolis.,,,,region-argolida,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-athens-attica,city-athens-attica,settlement,polis,polis,city,Αθήνα,Athens,Ἀθῆναι,"Κεντρική πόλη της Αττικής και κορυφαία ναυτική, πολιτική και πνευματική δύναμη της κλασικής εποχής.","Central city of Attica and leading naval, political and intellectual power of the classical era.",,,,region-attike,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-chalcis-euboea,city-chalcis-euboea,settlement,polis,polis,city,Χαλκίδα,Chalcis,Χαλκίς,Κύριο ευβοϊκό κέντρο στον Εύριπο και μία από τις πρωτοπόρες πόλεις του ελληνικού αποικισμού.,Main Euboean center in Euripos and one of the pioneering cities of Greek colonization.,,,,region-eyboia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-chios-city,city-chios-city,settlement,polis,polis,city,Χίος,Chios,Χίος,"Νησιωτική πόλη με ισχυρή ναυτιλία, εμπόριο οίνου και συμμετοχή στην Ιωνική Δωδεκάπολη.","Island city with strong shipping, wine trade and participation in the Ionian Dodecapolis.",,,,region-ionia-chios,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-corinth,city-corinth,settlement,polis,polis,city,Κόρινθος,Corinth,Κόρινθος,Ισχυρή εμπορική πόλη στον Ισθμό· καταστράφηκε το 146 π.Χ. και επανιδρύθηκε ως ρωμαϊκή αποικία το 44 π.Χ.,A major commercial city on the Isthmus; it was destroyed in 146 BCE and refounded as a Roman colony in 44 BCE.,,,,region-korinthia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-demetrias,city-demetrias,settlement,polis,polis,city,Δημητριάδα,Demetrias,Δημητριάς,Ελληνιστική πόλη που ίδρυσε ο Δημήτριος Πολιορκητής με συνοικισμό παραλιακών οικισμών.,A Hellenistic city founded by Demetrios Poliorketes through the synoecism of coastal settlements.,,,,region-magnesia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-dion,city-dion,settlement,polis,polis,city,Δίον,Dion,Δῖον,Ιερή και αστική έδρα των Μακεδόνων στους πρόποδες του Ολύμπου.,Sacred and civil seat of the Macedonians at the foot of Mount Olympus.,,,,region-makedonia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
