candidate_id,name_el,name_en,entity_class,collection,authoritative_source,external_identifier,decision,reason_el,reason_en,reviewed_on
candidate-delphi-settlement,Δελφοί,Delphi,settlement,city,https://pleiades.stoa.org/places/540726,pleiades:540726,defer,"Η εγγραφή Pleiades συνδυάζει ιερό και οικισμό· απαιτείται διαχωρισμός από τις δύο υπάρχουσες εγγραφές ιερών πριν από ένταξη.",The Pleiades record combines sanctuary and settlement; it must be disentangled from the two existing sanctuary records before inclusion.,2026-08-15
candidate-mycenae-settlement,Μυκήνες,Mycenae,settlement,city,https://pleiades.stoa.org/places/570491,pleiades:570491,defer,"Λείπει ως οικισμός αλλά υπάρχει παλατιακή πολιτεία· χρειάζεται ανεξάρτητη χρονολόγηση κατοίκησης και αποφυγή διπλομέτρησης.",Missing as a settlement but present as a palatial polity; inclusion needs an independent occupation chronology and duplicate-control.,2026-08-15
candidate-tiryns-settlement,Τίρυνθα,Tiryns,settlement,city,https://pleiades.stoa.org/places/570740,pleiades:570740,defer,"Λείπει ως οικισμός αλλά υπάρχει παλατιακή πολιτεία· χρειάζεται χωριστή τεκμηρίωση της μετανακτορικής κατοίκησης.",Missing as a settlement but present as a palatial polity; post-palatial occupation requires separate documentation.,2026-08-15
candidate-thasos,Θάσος,Thasos,settlement,colony,https://pleiades.stoa.org/places/501634,pleiades:501634,defer,"Σημαντική παριανή αποικία και ουσιώδης μελλοντική προσθήκη· απαιτούνται πλήρη δίγλωσσα και χρονολογικά πεδία.",A major Parian colony and material future addition; complete bilingual and chronological fields are required.,2026-08-15
candidate-abdera,Άβδηρα,Abdera,settlement,colony,https://pleiades.stoa.org/places/501323,pleiades:501323,defer,"Σημαντική αποικία που πρέπει να ενταχθεί σε ελεγχόμενη επέκταση μαζί με σχέσεις μητρόπολης και επανίδρυσης.",A major colony to add in a controlled expansion together with metropolis and refoundation relationships.,2026-08-15
candidate-akanthos,Άκανθος,Akanthos,settlement,colony,https://pleiades.stoa.org/places/501339,pleiades:501339,defer,"Υλική παράλειψη στη Χαλκιδική· απαιτείται τεκμηρίωση ίδρυσης, διάρκειας και νεότερων φάσεων.","A material omission in Chalkidike; foundation, duration and later phases require documentation.",2026-08-15
candidate-stageira,Στάγειρα,Stageira,settlement,city,https://pleiades.stoa.org/places/501625,pleiades:501625,defer,"Σημαντική πόλη και αρχαιολογικός τόπος· θα προστεθεί μόνο με πλήρη πηγή χρονολόγησης και ονομασιών.",An important city and archaeological site; add only with complete chronology and name sourcing.,2026-08-15
candidate-poteidaia,Ποτείδαια,Poteidaia / Kassandreia,settlement,colony,https://pleiades.stoa.org/places/491701,pleiades:491701,defer,"Η αποικιακή Ποτείδαια και η μεταγενέστερη Κασσάνδρεια χρειάζονται χωριστές ή ρητά φασικές εγγραφές.",Colonial Poteidaia and later Kassandreia require separate or explicitly phased records.,2026-08-15
candidate-palaipaphos,Παλαίπαφος,PalaiPaphos,settlement,city,https://pleiades.stoa.org/places/707596,pleiades:707596,defer,"Υπάρχουν ήδη πολιτειακή και ιερή εγγραφή· ο οικισμός πρέπει να προστεθεί χωρίς να συγχέονται οι τρεις οντότητες.",Polity and sanctuary records already exist; add the settlement without conflating the three entities.,2026-08-15
candidate-nea-paphos,Νέα Πάφος,Nea Paphos,settlement,city,https://pleiades.stoa.org/places/707586,pleiades:707586,defer,"Απαιτείται σαφής διάκριση από την Παλαίπαφο και τεκμηρίωση της μεταφοράς του αστικού κέντρου.",Requires clear distinction from PalaiPaphos and documentation of the transfer of the urban centre.,2026-08-15
candidate-sardis,Σάρδεις,Sardis,settlement,city,https://pleiades.stoa.org/places/550867,pleiades:550867,defer,"Σημαντική μη ελληνική και κατόπιν ελληνιστική πόλη· χρειάζεται σαφές κριτήριο ένταξης στον ελληνικό κόσμο και πολυφασική χρονολόγηση.",A major non-Greek and later Hellenistic city; inclusion needs an explicit Greek-world criterion and multi-phase chronology.,2026-08-15
candidate-hierapolis,Ιεράπολις,Hierapolis,settlement,city,https://pleiades.stoa.org/places/638860,pleiades:638860,defer,"Υπάρχει ήδη το Πλουτώνιο· η πόλη απαιτεί ανεξάρτητη εγγραφή και αποφυγή συγχώνευσης με το ιερό.",The Ploutonion already exists; the city needs an independent record without merging it with the sanctuary.,2026-08-15
candidate-segesta,Έγεστα,Segesta / Egesta,settlement,city,https://pleiades.stoa.org/places/462487,pleiades:462487,defer,"Υπάρχει ήδη ο δωρικός ναός· η ελυμική πόλη χρειάζεται χωριστή εγγραφή και ρητή αιτιολόγηση της ελληνικής πολιτισμικής συνάφειας.",The Doric temple already exists; the Elymian city needs a separate record and explicit rationale for Greek-cultural relevance.,2026-08-15
candidate-dodona-settlement,Δωδώνη,Dodona,settlement,city,https://pleiades.stoa.org/places/530843,pleiades:530843,defer,"Το μαντείο υπάρχει ήδη· η οικιστική και πολιτειακή διάσταση χρειάζεται χωριστή τεκμηρίωση.",The oracle already exists; settlement and civic dimensions require separate documentation.,2026-08-15
candidate-olympia-settlement,Ολυμπία ως οικισμός,Olympia as settlement,settlement,city,https://pleiades.stoa.org/places/570531,pleiades:570531,exclude,"Η αυθεντική εγγραφή ταξινομεί την Ολυμπία ως ιερό και αρχαιολογικό τόπο· δεν δημιουργείται τεχνητή πόλη.",The authority record classifies Olympia as a sanctuary and archaeological site; no artificial city entity is created.,2026-08-15
